category_id,parent_id,category_name
5000,2347,Southeast Asia
1088,5000,Masks
2347,8360,Asian Antiques
5000,2347,Southeast Asia
4479,5000,Necklaces & Pendants
2347,8360,Asian Antiques
5000,2347,Southeast Asia
5737,5000,Paintings
2347,8360,Asian Antiques
5000,2347,Southeast Asia
3320,5000,Statues
2347,8360,Asian Antiques
5000,2347,Southeast Asia
9103,5000,Other Southeast Asian Antiques
2347,8360,Asian Antiques
11660,2347,Tibet
2347,8360,Asian Antiques
12709,2347,Unknown
2347,8360,Asian Antiques
6888,2347,Reproductions
2347,8360,Asian Antiques
579,2347,Price Guides & Publications
2347,8360,Asian Antiques
6559,2347,Other Asian Antiques
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
6768,12129,Bowls
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
8824,12129,Boxes
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
3519,12129,Butter Pats
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
2348,12129,Candle Holders
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
857,12129,Candlesticks
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
12693,12129,Chamber Pots
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
8026,12129,Creamers & Sugar Bowls
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
6655,12129,Crocks
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
11902,12129,Cups & Saucers
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
12395,12129,Figurines
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
12732,12129,Jars
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
11766,12129,Jugs
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
3923,12129,Mugs & Tankards
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
7880,12129,Pitchers
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
9373,12129,Planters
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
5451,12129,Plates & Chargers
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
11869,12129,Platters & Trays
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
7742,12129,Salt & Pepper Shakers
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
129,12129,Teapots & Tea Sets
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
7002,12129,Tiles
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
12683,12129,Tureens
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
497,12129,Urns
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
1994,12129,Vases
2177,8360,Decorative Arts
12129,2177,Ceramics & Porcelain
2463,12129,Other Antique Ceramics
2177,8360,Decorative Arts
6481,2177,Clocks
2177,8360,Decorative Arts
12573,2177,Glass
12841,12573,Bottles
2177,8360,Decorative Arts
12573,2177,Glass
6768,12573,Bowls
2177,8360,Decorative Arts
12573,2177,Glass
2348,12573,Candle Holders
2177,8360,Decorative Arts
12573,2177,Glass
857,12573,Candlesticks
2177,8360,Decorative Arts
12573,2177,Glass
3097,12573,Compotes
2177,8360,Decorative Arts
12573,2177,Glass
10261,12573,Decanters
2177,8360,Decorative Arts
12573,2177,Glass
13220,12573,Dishes
2177,8360,Decorative Arts
12573,2177,Glass
12395,12573,Figurines
2177,8360,Decorative Arts
12573,2177,Glass
12732,12573,Jars
2177,8360,Decorative Arts
12573,2177,Glass
11766,12573,Jugs
2177,8360,Decorative Arts
12573,2177,Glass
9520,12573,Perfume Bottles
2177,8360,Decorative Arts
12573,2177,Glass
7880,12573,Pitchers
2177,8360,Decorative Arts
12573,2177,Glass
298,12573,Plates
2177,8360,Decorative Arts
12573,2177,Glass
7742,12573,Salt & Pepper Shakers
2177,8360,Decorative Arts
12573,2177,Glass
2629,12573,Stemware
2177,8360,Decorative Arts
12573,2177,Glass
1994,12573,Vases
2177,8360,Decorative Arts
12573,2177,Glass
92,12573,Other Antique Glass
2177,8360,Decorative Arts
5619,2177,Lamps
2177,8360,Decorative Arts
3049,2177,Metalware
2177,8360,Decorative Arts
12289,2177,Mirrors
2177,8360,Decorative Arts
11182,2177,Picture Frames
2177,8360,Decorative Arts
564,2177,Toleware
2177,8360,Decorative Arts
10085,2177,Woodenware
6768,10085,Bowls
2177,8360,Decorative Arts
10085,2177,Woodenware
8824,10085,Boxes
2177,8360,Decorative Arts
10085,2177,Woodenware
5755,10085,Carved Figures
2177,8360,Decorative Arts
10085,2177,Woodenware
3454,10085,Trays
2177,8360,Decorative Arts
10085,2177,Woodenware
558,10085,Other Antique Woodenware
2177,8360,Decorative Arts
579,2177,Price Guides & Publications
2177,8360,Decorative Arts
5081,2177,Other Antique Decorative Arts
2861,8360,Ethnographic
11988,2861,African
4673,11988,Jewelry
2861,8360,Ethnographic
11988,2861,African
1088,11988,Masks
2861,8360,Ethnographic
11988,2861,African
342,11988,Sculptures & Statues
2861,8360,Ethnographic
11988,2861,African
8382,11988,Other African Antiques
2861,8360,Ethnographic
3614,2861,Latin American
2861,8360,Ethnographic
6507,2861,Native American
2861,8360,Ethnographic
11771,2861,Pacific Islands & Oceania
2861,8360,Ethnographic
579,2861,Price Guides & Publications
2861,8360,Ethnographic
9834,2861,Other Ethnographic Antiques
7399,8360,Furniture
10237,7399,Armoires & Wardrobes
7497,10237,Pre-1800
7399,8360,Furniture
10237,7399,Armoires & Wardrobes
4003,10237,1800-1899
7399,8360,Furniture
10237,7399,Armoires & Wardrobes
7370,10237,1900-1950
7399,8360,Furniture
10237,7399,Armoires & Wardrobes
1422,10237,Post-1950
7399,8360,Furniture
10237,7399,Armoires & Wardrobes
12709,10237,Unknown
7399,8360,Furniture
6388,7399,Beds & Bedroom Sets
7497,6388,Pre-1800
7399,8360,Furniture
6388,7399,Beds & Bedroom Sets
4003,6388,1800-1899
7399,8360,Furniture
6388,7399,Beds & Bedroom Sets
7370,6388,1900-1950
7399,8360,Furniture
6388,7399,Beds & Bedroom Sets
1422,6388,Post-1950
7399,8360,Furniture
6388,7399,Beds & Bedroom Sets
12709,6388,Unknown
7399,8360,Furniture
4171,7399,Benches & Stools
7497,4171,Pre-1800
7399,8360,Furniture
4171,7399,Benches & Stools
4003,4171,1800-1899
7399,8360,Furniture
4171,7399,Benches & Stools
7370,4171,1900-1950
7399,8360,Furniture
4171,7399,Benches & Stools
1422,4171,Post-1950
7399,8360,Furniture
4171,7399,Benches & Stools
12709,4171,Unknown
7399,8360,Furniture
1354,7399,Bookcases
7497,1354,Pre-1800
7399,8360,Furniture
1354,7399,Bookcases
4003,1354,1800-1899
7399,8360,Furniture
1354,7399,Bookcases
7370,1354,1900-1950
7399,8360,Furniture
1354,7399,Bookcases
1422,1354,Post-1950
7399,8360,Furniture
1354,7399,Bookcases
12709,1354,Unknown
7399,8360,Furniture
3125,7399,Cabinets & Cupboards
7497,3125,Pre-1800
7399,8360,Furniture
3125,7399,Cabinets & Cupboards
4003,3125,1800-1899
7399,8360,Furniture
3125,7399,Cabinets & Cupboards
7370,3125,1900-1950
7399,8360,Furniture
3125,7399,Cabinets & Cupboards
1422,3125,Post-1950
7399,8360,Furniture
3125,7399,Cabinets & Cupboards
12709,3125,Unknown
7399,8360,Furniture
8454,7399,Chairs
7497,8454,Pre-1800
7399,8360,Furniture
8454,7399,Chairs
4003,8454,1800-1899
7399,8360,Furniture
8454,7399,Chairs
7370,8454,1900-1950
7399,8360,Furniture
8454,7399,Chairs
1422,8454,Post-1950
7399,8360,Furniture
8454,7399,Chairs
12709,8454,Unknown
7399,8360,Furniture
11149,7399,Chests & Trunks
7497,11149,Pre-1800
7399,8360,Furniture
11149,7399,Chests & Trunks
4003,11149,1800-1899
7399,8360,Furniture
11149,7399,Chests & Trunks
7370,11149,1900-1950
7399,8360,Furniture
11149,7399,Chests & Trunks
1422,11149,Post-1950
7399,8360,Furniture
11149,7399,Chests & Trunks
12709,11149,Unknown
7399,8360,Furniture
6700,7399,Desks & Secretaries
7497,6700,Pre-1800
7399,8360,Furniture
6700,7399,Desks & Secretaries
4003,6700,1800-1899
7399,8360,Furniture
6700,7399,Desks & Secretaries
7370,6700,1900-1950
7399,8360,Furniture
6700,7399,Desks & Secretaries
1422,6700,Post-1950
7399,8360,Furniture
6700,7399,Desks & Secretaries
12709,6700,Unknown
7399,8360,Furniture
1962,7399,Dining Sets
7497,1962,Pre-1800
7399,8360,Furniture
1962,7399,Dining Sets
4003,1962,1800-1899
7399,8360,Furniture
1962,7399,Dining Sets
7370,1962,1900-1950
7399,8360,Furniture
1962,7399,Dining Sets
1422,1962,Post-1950
7399,8360,Furniture
1962,7399,Dining Sets
12709,1962,Unknown
7399,8360,Furniture
5585,7399,Dressers & Vanities
7497,5585,Pre-1800
7399,8360,Furniture
5585,7399,Dressers & Vanities
4003,5585,1800-1899
7399,8360,Furniture
5585,7399,Dressers & Vanities
7370,5585,1900-1950
7399,8360,Furniture
5585,7399,Dressers & Vanities
1422,5585,Post-1950
7399,8360,Furniture
5585,7399,Dressers & Vanities
12709,5585,Unknown
7399,8360,Furniture
4990,7399,Hall Trees & Stands
7497,4990,Pre-1800
7399,8360,Furniture
4990,7399,Hall Trees & Stands
4003,4990,1800-1899
7399,8360,Furniture
4990,7399,Hall Trees & Stands
7370,4990,1900-1950
7399,8360,Furniture
4990,7399,Hall Trees & Stands
1422,4990,Post-1950
7399,8360,Furniture
4990,7399,Hall Trees & Stands
12709,4990,Unknown
7399,8360,Furniture
6337,7399,Nightstands
7497,6337,Pre-1800
7399,8360,Furniture
6337,7399,Nightstands
4003,6337,1800-1899
7399,8360,Furniture
6337,7399,Nightstands
7370,6337,1900-1950
7399,8360,Furniture
6337,7399,Nightstands
1422,6337,Post-1950
7399,8360,Furniture
6337,7399,Nightstands
12709,6337,Unknown
7399,8360,Furniture
12851,7399,Sideboards & Buffets
7497,12851,Pre-1800
7399,8360,Furniture
12851,7399,Sideboards & Buffets
4003,12851,1800-1899
7399,8360,Furniture
12851,7399,Sideboards & Buffets
7370,12851,1900-1950
7399,8360,Furniture
12851,7399,Sideboards & Buffets
1422,12851,Post-1950
7399,8360,Furniture
12851,7399,Sideboards & Buffets
12709,12851,Unknown
7399,8360,Furniture
6282,7399,Sofas & Chaises
7497,6282,Pre-1800
7399,8360,Furniture
6282,7399,Sofas & Chaises
4003,6282,1800-1899
7399,8360,Furniture
6282,7399,Sofas & Chaises
7370,6282,1900-1950
7399,8360,Furniture
6282,7399,Sofas & Chaises
1422,6282,Post-1950
7399,8360,Furniture
6282,7399,Sofas & Chaises
12709,6282,Unknown
7399,8360,Furniture
9511,7399,Tables
7497,9511,Pre-1800
7399,8360,Furniture
9511,7399,Tables
4003,9511,1800-1899
7399,8360,Furniture
9511,7399,Tables
7370,9511,1900-1950
7399,8360,Furniture
9511,7399,Tables
1422,9511,Post-1950
7399,8360,Furniture
9511,7399,Tables
12709,9511,Unknown
7399,8360,Furniture
2251,7399,Parts & Salvaged Pieces
7399,8360,Furniture
579,7399,Price Guides & Publications
7399,8360,Furniture
9552,7399,Other Antique Furniture
593,8360,Home & Hearth
4123,593,Baby Carriages & Buggies
593,8360,Home & Hearth
5161,593,Baby Cradles
593,8360,Home & Hearth
11378,593,Bath Tubs
593,8360,Home & Hearth
3515,593,Clothing Wringers
593,8360,Home & Hearth
3480,593,Hearth Ware
593,8360,Home & Hearth
1578,593,Ice Boxes
593,8360,Home & Hearth
12365,593,Meat Grinders
593,8360,Home & Hearth
5209,593,Sinks
593,8360,Home & Hearth
8221,593,Stoves
593,8360,Home & Hearth
9929,593,Toasters
593,8360,Home & Hearth
9700,593,Trivets
593,8360,Home & Hearth
5174,593,Washing Machines
593,8360,Home & Hearth
1332,593,Other Antique Home & Hearth
13234,8360,Incunabula
8821,8360,Linens & Textiles (Pre-1930)
2893,8821,Bed & Bath Linens
10962,2893,Bedspreads & Coverlets
8821,8360,Linens & Textiles (Pre-1930)
2893,8821,Bed & Bath Linens
4899,2893,Blankets
8821,8360,Linens & Textiles (Pre-1930)
2893,8821,Bed & Bath Linens
10011,2893,Pillowcases
8821,8360,Linens & Textiles (Pre-1930)
2893,8821,Bed & Bath Linens
1642,2893,Sheets
8821,8360,Linens & Textiles (Pre-1930)
2893,8821,Bed & Bath Linens
10546,2893,Towels
8821,8360,Linens & Textiles (Pre-1930)
2893,8821,Bed & Bath Linens
6894,2893,Other Antique Bed & Bath Linen
8821,8360,Linens & Textiles (Pre-1930)
6840,8821,Embroidery
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
3516,12020,Chenille
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
7820,12020,Cotton
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
8957,12020,Damask
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
3321,12020,Linen
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
2777,12020,Silk
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
196,12020,Velvet
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
12320,12020,Wool
8821,8360,Linens & Textiles (Pre-1930)
12020,8821,Fabric
10890,12020,Other Antique Fabric
8821,8360,Linens & Textiles (Pre-1930)
5237,8821,Feed & Flour Sacks
8821,8360,Linens & Textiles (Pre-1930)
3057,8821,Handkerchiefs
8821,8360,Linens & Textiles (Pre-1930)
4242,8821,Kitchen & Table Linens
2588,4242,Napkins
8821,8360,Linens & Textiles (Pre-1930)
4242,8821,Kitchen & Table Linens
3348,4242,Placemats
8821,8360,Linens & Textiles (Pre-1930)
4242,8821,Kitchen & Table Linens
4337,4242,Runners
8821,8360,Linens & Textiles (Pre-1930)
4242,8821,Kitchen & Table Linens
2150,4242,Tablecloths
8821,8360,Linens & Textiles (Pre-1930)
4242,8821,Kitchen & Table Linens
10546,4242,Towels
8821,8360,Linens & Textiles (Pre-1930)
4242,8821,Kitchen & Table Linens
9528,4242,Other Antique Table Linens
8821,8360,Linens & Textiles (Pre-1930)
515,8821,"Lace, Crochet & Doilies"
2571,515,Collars & Cuffs
8821,8360,Linens & Textiles (Pre-1930)
515,8821,"Lace, Crochet & Doilies"
4417,515,Doilies
8821,8360,Linens & Textiles (Pre-1930)
515,8821,"Lace, Crochet & Doilies"
4337,515,Runners
8821,8360,Linens & Textiles (Pre-1930)
515,8821,"Lace, Crochet & Doilies"
2150,515,Tablecloths
8821,8360,Linens & Textiles (Pre-1930)
515,8821,"Lace, Crochet & Doilies"
4281,515,Trim & Edging
8821,8360,Linens & Textiles (Pre-1930)
515,8821,"Lace, Crochet & Doilies"
13072,515,Other Antique Lace & Crochet
8821,8360,Linens & Textiles (Pre-1930)
7898,8821,Pillows
8821,8360,Linens & Textiles (Pre-1930)
10252,8821,Quilts
9586,10252,Completed Quilts
8821,8360,Linens & Textiles (Pre-1930)
10252,8821,Quilts
