category_id,parent_id,category_name
5955,2248,"        <Name ID=""3100758"" Value="""" langid=""39""/>
"
5306,4776,produktai paviršiams paruošti
2705,1280,rinkiniai depiliacijai vašku
2477,1747,dušo laikikliai
3586,3580,pistoletų rankenos
492,4956,sąvaržėlės
1819,1684,bins and baskets
3478,1119,šviečiančios lazdelės
3420,4977,variklinės alyvos
5181,4885,indai sūriui
932,2840,NAS ir duomenų saugojimo serveriai
5905,4881,"        <Name ID=""3069331"" Value="""" langid=""39""/>
"
905,373,spausdintuvų juostelės
4253,1265,prieskoniai ir konservantai
3887,2845,naktinio matymo prietaisai
2979,4918,langinių ir žaliuzių priedai
4018,4017,darbastalių įrankinių 
4779,4775,"        <Name ID=""2155096"" Value="""" langid=""39""/>
"
3913,2498,vaikiški makiažo rinkiniai
3786,1,"          <Name ID=""2508942"" langid=""39"">vaikų meninė veikla ir rankdarbiai</Name>
"
4017,4968,įrankinės 
4162,220,atsarginės plokščiųjų ekranų dalys
3956,2498,vaikiškos spalvinimo ir rankdarbių knygelės
5198,2116,kūno apsaugos žiemos sportui
3655,1985,kūdikių ir ir vaikų kambario baldų rinkiniai
2741,4012,gitarų dėklai
4567,4559,"        <Name ID=""2077523"" Value="""" langid=""39""/>
"
6123,4885,"        <Name ID=""3132933"" Value="""" langid=""39""/>
"
6219,6230,"        <Name ID=""3148029"" Value="""" langid=""39""/>
"
1806,1808,šviečiantys žiedai
5045,1280,seksualinė sveikata
5085,4525,sodo maišai
4180,4176,"        <Name ID=""1926980"" Value="""" langid=""39""/>
"
1646,2,diagramų kūrimo programinė įranga
6024,5954,"        <Name ID=""3112438"" Value="""" langid=""39""/>
"
843,225,spausdinimo plėvelės
4973,225,skenavimo įranga
3092,4880,dantų krapštukų dalytuvai
2303,1988,šampūnai kūdikiams
4660,1732,"        <Name ID=""2116448"" Value="""" langid=""39""/>
"
4057,4884,prieskonių indeliai
2922,830,S
2883,2024,paplūdimio kėdės
4896,4880,virtuviniai įrankiai
6048,5819,"        <Name ID=""3113988"" Value="""" langid=""39""/>
"
4439,3502,sieninių paveikslų dalys
5929,5928,"        <Name ID=""3092717"" Value="""" langid=""39""/>
"
5014,2103,"        <Name ID=""2272366"" Value="""" langid=""39""/>
"
4351,2115,elektriniai užbortiniai varikliai
5447,3800,ledo ritulio vartų priedai
3987,1215,kėdės atramos nugarai
4218,1259,cukranendrių cukrus
1855,2845,šautuvų taikikliai
6187,2112,"        <Name ID=""3141619"" Value="""" langid=""39""/>
"
