category_id,parent_id,category_name
3246,119,selfie sticks
1811,4950,sheet protectors
2908,242,modular headend equipment
5388,4958,masking films
4957,2834,flight
3403,3397,pet treats 
2589,2332,suspension lighting
1075,4969,hole punches
5113,5296,programmable toy software
3304,415,board maps
6226,1800,toilet brush replacement parts
2563,2555,light switches
3723,1966,ladder carriers
5455,2877,heat pump accessories
900,21,HTML editors
3848,1966,tire storage racks
4868,4842,carpet cleaners 
2899,1885,petrol chainsaws
5957,5952,pet bird cages 
370,372,fuser oil
3417,4763,power pruners
5973,5972,dog kennel 
1414,1333,hair stylers
1465,4882,baking trays 
1591,839,transport facilitation services
1742,1716,telescope accessories
2089,1988,baby baths
5539,1960,anti
2549,2295,role play toys
4902,4880,kitchen timers
6004,5954,aquarium filters
4991,1355,blowtorches
1276,1228,bandages 
4554,4553,video game chairs
5047,5046,pelvic floor exercisers
5061,2115,swimming equipment bags 
6165,6140,brooches 
2534,2295,toy parts
3579,1746,wash tubs
5661,1119,fancy dress accessories
2194,2114,cricket bats
4755,4750,gate hardware kits
4101,910,navigator mounts 
3091,4898,bottle openers
1185,431,letter folders
1434,1315,mincers
5896,5311,industrial space heaters
880,242,telephony cables
5428,4842,textile 
4599,2024,gazebos
464,453,felt pens
4199,4194,grapefruit
3116,1280,shaving care
1842,571,straps
5149,4763,garden electric multi
2227,2115,water sports nose clips
2758,2655,3D printing materials
2366,4919,alarm light indicators
3935,3652,storage box 
984,2555,power distribution units 
3142,3012,sunscreen milks
5233,1,institutional food services equipment
4175,4167,tobacco product accessories 
3950,4615,wire brushes
2132,2108,billiard balls
4831,1333,personal cooling systems
2714,2707,gas cartridges 
4543,4541,entryway tables
3145,4455,pillowcases 
1712,571,rangefinders
4690,1732,harps
1756,2844,RAID controllers
403,4941,painting
6141,1228,protective coats
154,150,handheld mobile computers
5137,2836,stage 
1707,2845,microscopes
1339,1058,home audio sets
3998,4885,carafes
2970,2581,body creams
3829,4915,alarm add
2381,1856,screws 
3818,1315,electric beverage dispensers
5123,1960,kick scooters 
2797,4723,rotary tool polishing supplies
3418,4764,cordless pruners
3809,3807,unisex adult t
1896,1885,cordless sabre saws
5138,5137,stage 
4224,4219,ground fresh poultry
1015,4958,adhesives 
706,854,writing notebooks
2591,2332,table lamps
3704,1309,chocolate dragees
2120,2107,fight trunks
2264,585,photo studio flash units
214,2840,optical disc drives
4655,1357,combination wrenches
5459,5467,kids
5904,4881,double boilers
4146,3710,aerosol whipped cream
5448,4958,foam sealant removers
3111,2074,garden hose reels
4060,4049,disposable tableware sets
1228,2835,personal safety 
2116,1960,sport protective gear
3774,4615,taping knives
4939,4049,disposable ice cube bags
1514,151,notebook arms 
5313,5311,industrial blowers
4241,4230,frozen soups 
5683,1119,party invitations
1226,1225,ear plugs
5920,830,cable reels
2374,816,tube fixings
2187,2103,baby sleep positioners
4905,1966,car funnels
3170,4615,hand planers
2662,1990,navigational compasses
4450,4444,interior window shutters
1488,119,telephone hangers
3721,1967,car roof top accessories
3472,1990,camping windbreakers
1057,67,application server software
6234,1990,climbing gloves
1657,2,fonts software
5658,5620,felting needles
14,2843,financial analysis software
2196,2114,goalkeeper gloves
575,571,digital cameras
1313,2510,car media receivers
4044,4880,raclette grill accessories
1436,1744,dehumidifiers
1162,403,paint brushes
5708,4966,leather strips
2716,1417,ice cream maker accessories
2815,6205,jewellery boxes
5117,2005,avalanche airbags
6233,6232,transfer paper
6117,6083,baseball 
6044,2114,volleyball balls
1448,2025,magazine racks
